experiment_id,date,architecture,encoder,pretrained_weights,loss,optimizer,learning_rate,scheduler,epochs,batch_size,image_size,crop_size,augmentation,normalization,mean_iou,mean_iou_change_vs_baseline_pct,mean_dice,mean_dice_change_vs_baseline_pct,pixel_accuracy,pixel_accuracy_change_vs_baseline_pct,checkpoint_path,comments
000_baseline_majority,2026-06-19T10:52:18,majority_baseline,,,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic,imagenet,0.019816,0.000000,0.028792,0.000000,0.376508,0.000000,,Predicts `road` for every valid pixel.
020_final_tiny_unet_ce_cosine,2026-06-19T11:25:13,tiny_unet,,,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,none,0.361261,1723.077311,0.442397,1436.527508,0.863566,129.361926,outputs/train/020_final_tiny_unet_ce_cosine/checkpoints/best.pt,Training run; best epoch 29 by validation mean IoU.
020_final_tiny_unet_ce_cosine_eval,2026-06-19T11:29:33,tiny_unet,,,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,none,0.341933,1625.539968,0.426524,1381.397610,0.865658,129.917558,outputs/train/020_final_tiny_unet_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
021_final_unet_resnet34_ce_cosine,2026-06-19T12:07:42,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.530208,2575.656036,0.606461,2006.352459,0.946001,151.256547,outputs/train/021_final_unet_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
021_final_unet_resnet34_ce_cosine_eval,2026-06-19T12:09:58,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.664763,3254.678038,0.782822,2618.887191,0.946943,151.506741,outputs/train/021_final_unet_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
022_final_unetplusplus_resnet34_ce_cosine,2026-06-19T12:52:56,unetplusplus,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.542349,2636.924707,0.618246,2047.283968,0.947846,151.746576,outputs/train/022_final_unetplusplus_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 29 by validation mean IoU.
022_final_unetplusplus_resnet34_ce_cosine_eval,2026-06-19T12:55:14,unetplusplus,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.668604,3274.061365,0.785664,2628.757988,0.948593,151.944979,outputs/train/022_final_unetplusplus_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
023_final_fpn_resnet34_ce_cosine,2026-06-19T13:30:45,fpn,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.565918,2755.863948,0.646965,2147.030425,0.946001,151.256547,outputs/train/023_final_fpn_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
023_final_fpn_resnet34_ce_cosine_eval,2026-06-19T13:32:53,fpn,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.683762,3350.555107,0.799972,2678.452348,0.946849,151.481775,outputs/train/023_final_fpn_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
024_final_pspnet_resnet34_ce_cosine,2026-06-19T14:06:28,pspnet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.505327,2450.095882,0.591708,1955.112531,0.929483,146.869389,outputs/train/024_final_pspnet_resnet34_ce_cosine/checkpoints/best.pt,Training run; best epoch 26 by validation mean IoU.
024_final_pspnet_resnet34_ce_cosine_eval,2026-06-19T14:09:06,pspnet,resnet34,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.583456,2844.368187,0.710126,2366.400389,0.930482,147.134722,outputs/train/024_final_pspnet_resnet34_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
025_final_deeplabv3plus_resnet50_ce_cosine,2026-06-19T14:42:48,deeplabv3plus,resnet50,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.577441,2814.013928,0.660095,2192.633370,0.946174,151.302496,outputs/train/025_final_deeplabv3plus_resnet50_ce_cosine/checkpoints/best.pt,Training run; best epoch 26 by validation mean IoU.
025_final_deeplabv3plus_resnet50_ce_cosine_eval,2026-06-19T14:45:13,deeplabv3plus,resnet50,imagenet,cross_entropy,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.673021,3296.351433,0.788682,2639.240067,0.947185,151.571016,outputs/train/025_final_deeplabv3plus_resnet50_ce_cosine/checkpoints/best.pt,Evaluation run on the val split.
026_final_unet_resnet34_ce_step,2026-06-20T01:04:19,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,step_decay,30,4,512x1024,512x512,basic_aug,imagenet,0.510490,2476.150585,0.588694,1944.644346,0.941082,149.950067,outputs/train/026_final_unet_resnet34_ce_step/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
026_final_unet_resnet34_ce_step_eval,2026-06-20T01:06:14,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,step_decay,30,4,512x1024,512x512,basic_aug,imagenet,0.603727,2946.664312,0.723234,2411.926924,0.941877,150.161218,outputs/train/026_final_unet_resnet34_ce_step/checkpoints/best.pt,Evaluation run on the val split.
027_final_unet_resnet34_ce_plateau,2026-06-20T01:39:43,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,reduce_on_plateau,30,4,512x1024,512x512,basic_aug,imagenet,0.534892,2599.293500,0.613212,2029.799944,0.943802,150.672496,outputs/train/027_final_unet_resnet34_ce_plateau/checkpoints/best.pt,Training run; best epoch 27 by validation mean IoU.
027_final_unet_resnet34_ce_plateau_eval,2026-06-20T01:41:38,unet,resnet34,imagenet,cross_entropy,adamw,0.000300,reduce_on_plateau,30,4,512x1024,512x512,basic_aug,imagenet,0.655762,3209.255147,0.776022,2595.269519,0.944613,150.887896,outputs/train/027_final_unet_resnet34_ce_plateau/checkpoints/best.pt,Evaluation run on the val split.
028_final_unet_resnet34_dice_cosine,2026-06-20T02:14:06,unet,resnet34,imagenet,dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.561731,2734.734558,0.644222,2137.503473,0.929658,146.915869,outputs/train/028_final_unet_resnet34_dice_cosine/checkpoints/best.pt,Training run; best epoch 27 by validation mean IoU.
028_final_unet_resnet34_dice_cosine_eval,2026-06-20T02:15:54,unet,resnet34,imagenet,dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.548813,2669.544812,0.636288,2109.947208,0.930752,147.206434,outputs/train/028_final_unet_resnet34_dice_cosine/checkpoints/best.pt,Evaluation run on the val split.
029_final_unet_resnet34_focal_cosine,2026-06-20T02:48:11,unet,resnet34,imagenet,focal,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.540079,2625.469318,0.620587,2055.414699,0.943939,150.708883,outputs/train/029_final_unet_resnet34_focal_cosine/checkpoints/best.pt,Training run; best epoch 28 by validation mean IoU.
029_final_unet_resnet34_focal_cosine_eval,2026-06-20T02:49:57,unet,resnet34,imagenet,focal,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.655568,3208.276140,0.775173,2592.320784,0.944823,150.943672,outputs/train/029_final_unet_resnet34_focal_cosine/checkpoints/best.pt,Evaluation run on the val split.
030_final_unet_resnet34_ce_dice_cosine,2026-06-20T03:21:29,unet,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.598499,2920.281591,0.681615,2267.376355,0.945809,151.205552,outputs/train/030_final_unet_resnet34_ce_dice_cosine/checkpoints/best.pt,Training run; best epoch 30 by validation mean IoU.
030_final_unet_resnet34_ce_dice_cosine_eval,2026-06-20T03:23:15,unet,resnet34,imagenet,cross_entropy_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.692000,3392.127574,0.806638,2701.604612,0.946611,151.418562,outputs/train/030_final_unet_resnet34_ce_dice_cosine/checkpoints/best.pt,Evaluation run on the val split.
031_final_unet_resnet34_focal_dice_cosine,2026-06-20T03:54:15,unet,resnet34,imagenet,focal_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.590393,2879.375252,0.673359,2238.701723,0.944550,150.871163,outputs/train/031_final_unet_resnet34_focal_dice_cosine/checkpoints/best.pt,Training run; best epoch 29 by validation mean IoU.
031_final_unet_resnet34_focal_dice_cosine_eval,2026-06-20T03:55:55,unet,resnet34,imagenet,focal_dice,adamw,0.000300,cosine_annealing,30,4,512x1024,512x512,basic_aug,imagenet,0.686880,3366.289867,0.802033,2685.610586,0.945601,151.150308,outputs/train/031_final_unet_resnet34_focal_dice_cosine/checkpoints/best.pt,Evaluation run on the val split.
